asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,sales_volume_clean,has_discounts
B0BKZDZ63C,"traditional red landline phone, retro corded telephone with message indicator, classic 2500 analog desk phone, vintage corded desk telephone large button, old red telephone landline for school,home",35.97,35.97,4.3,192,2,33.27,False,False,True,False,200+ bought in past month,False,200.0,False
B09GBLFSB2,"samsung galaxy z flip 3 5g factory unlocked android cell phone us version smartphone flex mode intuitive camera compact 128gb storage us warranty, phantom black (renewed)",273.99,273.99,3.9,1574,11,204.99,False,False,False,True,200+ bought in past month,False,200.0,False
B09MMLPD1L,motorola moto one 5g uw ace 64gb volcanic grey-(verizon),75.05,75.05,4.0,84,3,50.0,False,False,True,False,200+ bought in past month,False,200.0,False
B088BF7ZDL,"at&amp;t dl72319 dect 6.0 3-handset cordless phone for home with connect to cell, call blocking, 1.8&quot; backlit screen, big buttons, intercom, and unsurpassed range",76.95,76.95,4.2,6801,3,34.68,False,False,True,False,300+ bought in past month,False,300.0,False
B09TG89P52,motorola edge + |2022| 4800mah battery | unlocked | made for us 8/512gb | 50mp camera | cosmos blue,270.74,270.74,4.2,1804,3,192.55,False,False,True,False,100+ bought in past month,True,100.0,False
B08L9MY937,samsung - galaxy a71 a716u 5g fully unlocked 128gb - prism cube black (renewed),145.0,166.0,4.0,1769,16,111.1,False,False,True,True,300+ bought in past month,False,300.0,True
B00WHYS81A,"vtech cs6529-3 3-handset expandable cordless phone with answering system-caller id/call waiting &amp; backlit display/keypad, silver",65.95,65.95,4.3,26175,3,35.25,False,False,True,False,300+ bought in past month,False,300.0,False
B09BM2FZ3M,oneplus nord n200 | 5g for t-mobile u.s version | 6.49&quot; full hd+lcd screen | 90hz smooth display | large 5000mah battery | fast charging | 64gb storage | triple camera (t-mobile) (renewed),74.0,84.37,4.1,385,16,70.0,False,False,True,True,500+ bought in past month,False,500.0,True
B084HM9YWW,"apple iphone 11, us version, 64gb, black - t-mobile (renewed)",209.0,222.07,4.2,52783,1,209.0,False,False,False,True,100+ bought in past month,True,100.0,True
B0764KJ4RK,"at&amp;t cd4930 corded phone with digital answering system and caller id, extra-large tilt display &amp; buttons, black",49.85,49.85,4.4,13525,3,17.57,False,False,True,False,400+ bought in past month,False,400.0,False
